idDB4A	idDB4A	idDB4A	idDB4A	idDB4A	idDB4A	idDB4A	idDB4A	
EMG_CH2_24BIT	EMG_CH2_24BIT	ECG_EMG_Status1	ECG_EMG_Status1	Timestamp	Timestamp	EMG_CH1_24BIT	EMG_CH1_24BIT	
UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	
no_units	mV	no_units	no_units	ms	Ticks	mV	no_units	
758055.0	54.67216130163209	128.0	128.0	340181.2438964844	1.1147059E7	55.19900979983924	765360.0	
758080.0	54.67396434235148	128.0	128.0	340182.2204589844	1.1147091E7	55.203337097565786	765420.0	
757225.0	54.61230034974818	128.0	128.0	340183.1970214844	1.1147123E7	55.213794733738276	765565.0	
758310.0	54.690552316969914	128.0	128.0	340184.1735839844	1.1147155E7	55.22208872104749	765680.0	
758010.0	54.66891582833718	128.0	128.0	340185.1501464844	1.1147187E7	55.237594871234286	765895.0	
757810.0	54.65449150258202	128.0	128.0	340186.1267089844	1.1147219E7	55.23182514093222	765815.0	
757625.0	54.6411490012585	128.0	128.0	340187.1032714844	1.1147251E7	55.24372520968023	765980.0	
758550.0	54.7078615078761	128.0	128.0	340188.0798339844	1.1147283E7	55.25237980513332	766100.0	
757790.0	54.6530490700065	128.0	128.0	340189.0563964844	1.1147315E7	55.27149203675891	766365.0	
757835.0	54.656294543301414	128.0	128.0	340190.0329589844	1.1147347E7	55.28339210550691	766530.0	
758055.0	54.67216130163209	128.0	128.0	340191.0095214844	1.1147379E7	55.286276970657944	766570.0	
757960.0	54.66530974689839	128.0	128.0	340191.9860839844	1.1147411E7	55.27113142861503	766360.0	
757430.0	54.62708528364722	128.0	128.0	340192.9626464844	1.1147443E7	55.27041021232727	766350.0	
756780.0	54.580206224942955	128.0	128.0	340193.9392089844	1.1147475E7	55.2527404132772	766105.0	
757155.0	54.60725183573388	128.0	128.0	340194.9157714844	1.1147507E7	55.23543122237101	765865.0	
757085.0	54.60220332171957	128.0	128.0	340195.8923339844	1.1147539E7	55.231103924644465	765805.0	
757625.0	54.6411490012585	128.0	128.0	340196.8688964844	1.1147571E7	55.221006896615854	765665.0	
757530.0	54.6342974465248	128.0	128.0	340197.8454589844	1.1147603E7	55.22136750475973	765670.0	
757655.0	54.64331265012177	128.0	128.0	340198.8220214844	1.1147635E7	55.23182514093222	765815.0	
758525.0	54.70605846715671	128.0	128.0	340199.7985839844	1.1147667E7	55.24697068297514	766025.0	
757800.0	54.65377028629426	128.0	128.0	340200.7751464844	1.1147699E7	55.25742831914763	766170.0	
757385.0	54.62383981035231	128.0	128.0	340201.7517089844	1.1147731E7	55.27041021232727	766350.0	
758100.0	54.675406774927	128.0	128.0	340202.7282714844	1.1147763E7	55.27401629376606	766400.0	
757230.0	54.61266095789206	128.0	128.0	340203.7048339844	1.1147795E7	55.28735879508958	766585.0	
757850.0	54.65737636773305	128.0	128.0	340204.6813964844	1.1147827E7	55.292767917247765	766660.0	
