idDB4A	idDB4A	idDB4A	idDB4A	idDB4A	idDB4A	idDB4A	idDB4A	
EMG_CH2_24BIT	EMG_CH2_24BIT	ECG_EMG_Status1	ECG_EMG_Status1	Timestamp	Timestamp	EMG_CH1_24BIT	EMG_CH1_24BIT	
UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	
no_units	mV	no_units	no_units	ms	Ticks	mV	no_units	
754610.0	54.423702290499484	128.0	128.0	168851.16577148438	5532915.0	-84.4666879733429	-1171170.0	
753635.0	54.35338370244309	128.0	128.0	168852.14233398438	5532947.0	-84.48688202940012	-1171450.0	
755070.0	54.45687823973635	128.0	128.0	168853.11889648438	5532979.0	-84.59326143184441	-1172925.0	
754645.0	54.42622654750664	128.0	128.0	168854.09545898438	5533011.0	-84.70685299716628	-1174500.0	
754945.0	54.447863036139374	128.0	128.0	168855.07202148438	5533043.0	-84.81395361589833	-1175985.0	
755505.0	54.48825114825382	128.0	128.0	168856.04858398438	5533075.0	-84.83090219866064	-1176220.0	
755430.0	54.48284202609564	128.0	128.0	168857.02514648438	5533107.0	-84.82909915794124	-1176195.0	
754585.0	54.42189924978009	128.0	128.0	168858.00170898438	5533139.0	-84.7818594910931	-1175540.0	
755475.0	54.48608749939055	128.0	128.0	168858.97827148438	5533171.0	-84.65492542444771	-1173780.0	
754625.0	54.42478411493112	128.0	128.0	168859.95483398438	5533203.0	-84.5489066301473	-1172310.0	
755975.0	54.522148313778445	128.0	128.0	168860.93139648438	5533235.0	-84.40177850744469	-1170270.0	
755450.0	54.484284458671155	128.0	128.0	168861.90795898438	5533267.0	-84.31306890405047	-1169040.0	
755080.0	54.457599456024106	128.0	128.0	168862.88452148438	5533299.0	-84.32677201351787	-1169230.0	
754380.0	54.40711431588105	128.0	128.0	168863.86108398438	5533331.0	-84.33542660897096	-1169350.0	
755455.0	54.484645066815034	128.0	128.0	168864.83764648438	5533363.0	-84.34227816370466	-1169445.0	
755940.0	54.51962405677129	128.0	128.0	168865.81420898438	5533395.0	-84.35093275915776	-1169565.0	
754635.0	54.42550533121888	128.0	128.0	168866.79077148438	5533427.0	-84.34480242071182	-1169480.0	
756040.0	54.52683621964887	128.0	128.0	168867.76733398438	5533459.0	-84.35057215101388	-1169560.0	
754775.0	54.43560235924749	128.0	128.0	168868.74389648438	5533491.0	-84.39096026312832	-1170120.0	
755665.0	54.49979060885795	128.0	128.0	168869.72045898438	5533523.0	-84.39420573642323	-1170165.0	
755380.0	54.47923594465684	128.0	128.0	168870.69702148438	5533555.0	-84.41439979248045	-1170445.0	
754430.0	54.41072039731984	128.0	128.0	168871.67358398438	5533587.0	-84.42666046937234	-1170615.0	
754865.0	54.44209330583731	128.0	128.0	168872.65014648438	5533619.0	-84.49770027371649	-1171600.0	
756240.0	54.54126054540403	128.0	128.0	168873.62670898438	5533651.0	-84.62463434036188	-1173360.0	
755115.0	54.46012371303126	128.0	128.0	168874.60327148438	5533683.0	-84.72957131023065	-1174815.0	
755495.0	54.487529931966066	128.0	128.0	168875.57983398438	5533715.0	-84.79159591097783	-1175675.0	
755770.0	54.50736337987941	128.0	128.0	168876.55639648438	5533747.0	-84.79880807385541	-1175775.0	
754795.0	54.437044791823006	128.0	128.0	168877.53295898438	5533779.0	-84.78546557253189	-1175590.0	
755715.0	54.50339669029674	128.0	128.0	168878.50952148438	5533811.0	-84.68197103523863	-1174155.0	
755495.0	54.487529931966066	128.0	128.0	168879.48608398438	5533843.0	-84.56152791518306	-1172485.0	
755175.0	54.464451010757806	128.0	128.0	168880.46264648438	5533875.0	-84.43675749740095	-1170755.0	
755700.0	54.5023148658651	128.0	128.0	168881.43920898438	5533907.0	-84.29575971314428	-1168800.0	
755245.0	54.46949952477211	128.0	128.0	168882.41577148438	5533939.0	-84.2798929548136	-1168580.0	
756145.0	54.53440899067033	128.0	128.0	168883.39233398438	5533971.0	-84.28710511769118	-1168680.0	
755460.0	54.48500567495891	128.0	128.0	168884.36889648438	5534003.0	-84.29684153757592	-1168815.0	
755225.0	54.468057092196595	128.0	128.0	168885.34545898438	5534035.0	-84.32424775651072	-1169195.0	
755485.0	54.48680871567831	128.0	128.0	168886.32202148438	5534067.0	-84.33218113567605	-1169305.0	
755580.0	54.49366027041201	128.0	128.0	168887.29858398438	5534099.0	-84.32136289135968	-1169155.0	
754815.0	54.43848722439852	128.0	128.0	168888.27514648438	5534131.0	-84.34372059628018	-1169465.0	
755525.0	54.48969358082934	128.0	128.0	168889.25170898438	5534163.0	-84.37040559892722	-1169835.0	
755640.0	54.497987568138555	128.0	128.0	168890.22827148438	5534195.0	-84.3776177618048	-1169935.0	
754960.0	54.44894486057101	128.0	128.0	168891.20483398438	5534227.0	-84.39600877714263	-1170190.0	
754920.0	54.44605999541998	128.0	128.0	168892.18139648438	5534259.0	-84.43639688925707	-1170750.0	
755515.0	54.48897236454158	128.0	128.0	168893.15795898438	5534291.0	-84.54530054870851	-1172260.0	
755590.0	54.494381486699766	128.0	128.0	168894.13452148438	5534323.0	-84.65961333031814	-1173845.0	
755570.0	54.49293905412425	128.0	128.0	168895.11108398438	5534355.0	-84.7357016486766	-1174900.0	
754480.0	54.41432647875863	128.0	128.0	168896.08764648438	5534387.0	-84.77861401779819	-1175495.0	
753945.0	54.375741407363584	128.0	128.0	168897.06420898438	5534419.0	-84.77140185492061	-1175395.0	
754580.0	54.42153864163621	128.0	128.0	168898.04077148438	5534451.0	-84.7320955672378	-1174850.0	
753035.0	54.310110725177616	128.0	128.0	168899.01733398438	5534483.0	-84.60263724358526	-1173055.0	
