Timestamp,ECG_EMG_Status1,EMG_CH1_24BIT,EMG_CH2_24BIT,Batt_Percentage,Packet_Reception_Rate_Current,Packet_Reception_Rate_Trial,System_Timestamp,null,
430816.0095214844,128.0,1.2931408039499288,54.865447266751204,89.97300884791184,0.0,100.0,1.524649373792E12,0.0,
430816.9860839844,128.0,1.4352204126382366,54.91701423132589,89.97300884791184,0.0,100.0,1.524649373792E12,0.0,
430817.9626464844,128.0,1.448923522105637,54.817125775471425,89.97300884791184,0.0,100.0,1.524649373793E12,0.0,
430818.9392089844,128.0,1.3890625702217305,54.84200773739907,89.97300884791184,0.0,100.0,1.524649373793E12,0.0,
430819.9157714844,128.0,1.0940851085287462,54.70858272416386,89.97300884791184,0.0,100.0,1.524649373796E12,0.0,
430820.8923339844,128.0,0.791174267670425,54.64980359671159,89.97300884791184,0.0,100.0,1.524649373797E12,0.0,
430821.8688964844,128.0,0.4327297726547447,54.70245238571792,89.97300884791184,0.0,100.0,1.524649373797E12,0.0,
430822.8454589844,128.0,0.17128886834250312,54.666391571330024,89.97300884791184,0.0,100.0,1.524649373798E12,0.0,
430823.8220214844,128.0,0.13919474353727623,54.73743137567418,89.97300884791184,0.0,100.0,1.524649373798E12,0.0,
430824.7985839844,128.0,0.16119184031389241,54.676127991214756,89.97300884791184,0.0,100.0,1.524649373799E12,0.0,
430825.7751464844,128.0,0.16155244845777136,54.758346648019156,89.97300884791184,0.0,100.0,1.524649373816E12,0.0,
430826.7517089844,128.0,0.17705859864456638,54.72877678022108,89.97300884791184,0.0,100.0,1.524649373817E12,0.0,
430827.7282714844,128.0,0.15542211001182915,54.6822583296607,89.97300884791184,0.0,100.0,1.524649373817E12,0.0,
430828.7048339844,128.0,0.16407670546492403,54.7626739457457,89.97300884791184,0.0,100.0,1.524649373818E12,0.0,
430829.6813964844,128.0,0.24845901113259927,54.74716779555891,89.97300884791184,0.0,100.0,1.524649373818E12,0.0,
430830.6579589844,128.0,0.2780288789306735,54.800177192709114,89.97300884791184,0.0,100.0,1.524649373819E12,0.0,
430831.6345214844,128.0,0.305435097865474,54.748610228134424,89.97300884791184,0.0,100.0,1.524649373819E12,0.0,
430832.6110839844,128.0,0.3227442887716638,54.78214678551517,89.97300884791184,0.0,100.0,1.524649373821E12,0.0,
430833.5876464844,128.0,0.5337000529408519,54.80053780085299,89.97300884791184,0.0,100.0,1.524649373821E12,0.0,
430834.5642089844,128.0,0.8838505606473162,54.8535471980032,89.97300884791184,0.0,100.0,1.524649373823E12,0.0,
430835.5407714844,128.0,1.1795492386280584,54.864726050463446,89.97300884791184,0.0,100.0,1.524649373823E12,0.0,
430836.5173339844,128.0,1.3901443946533674,54.937208287383115,89.97300884791184,0.0,100.0,1.524649373824E12,0.0,
430837.4938964844,128.0,1.4492841302495159,54.782868001802925,89.97300884791184,0.0,100.0,1.524649373824E12,0.0,
430838.4704589844,128.0,1.4348598044943577,54.80234084157239,89.97300884791184,0.0,100.0,1.524649373825E12,0.0,
430839.4470214844,128.0,1.2480647859650595,54.768804284191646,89.97300884791184,0.0,100.0,1.524649373825E12,0.0,
430840.4235839844,128.0,0.9379417822291592,54.71146758931489,89.97300884791184,0.0,100.0,1.524649373826E12,0.0,
430841.4001464844,128.0,0.6040186409972479,54.58164865751847,89.97300884791184,0.0,100.0,1.524649373826E12,0.0,
430842.3767089844,128.0,0.23078921208253053,54.594269942554234,89.97300884791184,0.0,100.0,1.524649373827E12,0.0,
430843.3532714844,128.0,0.14316143311994473,54.64763994784832,89.97300884791184,0.0,100.0,1.524649373844E12,0.0,
430844.3298339844,128.0,0.15325846114855543,54.700649344998524,89.97300884791184,0.0,100.0,1.524649373844E12,0.0,
430845.3063964844,128.0,0.16155244845777136,54.69884630427913,89.97300884791184,0.0,100.0,1.524649373845E12,0.0,
430846.2829589844,128.0,0.1792222475078401,54.703534210149556,89.97300884791184,0.0,100.0,1.524649373845E12,0.0,
430847.2595214844,128.0,0.1557827181557081,54.648721772279956,89.97300884791184,0.0,100.0,1.524649373845E12,0.0,
430848.2360839844,128.0,0.15794636701898182,54.676488599358635,89.97300884791184,0.0,100.0,1.524649373856E12,0.0,
430849.2126464844,128.0,0.2051860338671248,54.7233676580629,89.97300884791184,0.0,100.0,1.524649373857E12,0.0,
430850.1892089844,128.0,0.26757124275818384,54.70245238571792,89.97300884791184,0.0,100.0,1.524649373857E12,0.0,
430851.1657714844,128.0,0.29353502911746854,54.66350670617899,89.97300884791184,0.0,100.0,1.524649373857E12,0.0,
430852.1423339844,128.0,0.31697455846960054,54.6000396728563,89.97300884791184,0.0,100.0,1.524649373858E12,0.0,
430853.1188964844,128.0,0.39270226868418084,54.70569785901283,89.97300884791184,0.0,100.0,1.524649373858E12,0.0,
430854.0954589844,128.0,0.7305920994987607,54.70137056128628,89.97300884791184,0.0,100.0,1.524649373859E12,0.0,
430855.0720214844,128.0,1.0457636172489664,54.772410365630435,89.97300884791184,0.0,100.0,1.524649373859E12,0.0,
430856.0485839844,128.0,1.3104499948561186,54.80594692301118,89.97300884791184,0.0,100.0,1.524649373859E12,0.0,
430857.0251464844,128.0,1.4384658859331474,54.78070435293965,89.97300884791184,0.0,100.0,1.52464937386E12,0.0,
430858.0017089844,128.0,1.4460386569546053,54.755101174724246,89.97300884791184,0.0,100.0,1.52464937386E12,0.0,
430858.9782714844,128.0,1.3847352724951831,54.75726482358752,89.97300884791184,0.0,100.0,1.52464937386E12,0.0,
